SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1221179,137908,-2,65957.535,67500,2250.0,2250.0,0.0,0.0,3375.0,4500.0,4500.0,62674.56,65957.535,65957.535,1.0,1,0.0,0.0,97.0,Active,0,0
1221179,137908,-3,64924.56,67500,4500.0,4500.0,0.0,0.0,3375.0,4500.0,4500.0,61654.14,64924.56,64924.56,1.0,1,0.0,0.0,96.0,Active,0,0
1221179,137908,-4,61654.14,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,59568.75,61654.14,61654.14,0.0,0,0.0,0.0,95.0,Active,0,0
1221179,137908,-5,64068.75,67500,4500.0,4500.0,0.0,0.0,3375.0,4500.0,4500.0,60863.085,64068.75,64068.75,1.0,1,0.0,0.0,94.0,Active,0,0
1221179,137908,-6,60863.085,67500,4500.0,4500.0,0.0,0.0,3375.0,4500.0,4500.0,57683.025,60863.085,60863.085,1.0,1,0.0,0.0,93.0,Active,0,0
1221179,137908,-7,57683.025,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,55614.105,57683.025,57683.025,0.0,0,0.0,0.0,92.0,Active,0,0
1221179,137908,-8,60114.105,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,58100.85,60114.105,60114.105,0.0,0,0.0,0.0,91.0,Active,0,0
1221179,137908,-9,62600.85,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,60466.14,62600.85,62600.85,0.0,0,0.0,0.0,90.0,Active,0,0
1221179,137908,-10,64966.14,67500,9000.0,9000.0,0.0,0.0,3375.0,4500.0,4500.0,61800.12,64966.14,64966.14,1.0,1,0.0,0.0,89.0,Active,0,0
1221179,137908,-11,57300.12,67500,4500.0,4500.0,0.0,0.0,3375.0,4500.0,4500.0,54187.74,57300.12,57300.12,1.0,1,0.0,0.0,88.0,Active,0,0
1221179,137908,-12,54187.74,67500,27000.0,27000.0,0.0,0.0,3375.0,4500.0,4500.0,50124.6,54187.74,54187.74,2.0,2,0.0,0.0,87.0,Active,0,0
1221179,137908,-13,27624.6,67500,9000.0,9000.0,0.0,0.0,3375.0,4500.0,4500.0,25049.43,27624.6,27624.6,1.0,1,0.0,0.0,86.0,Active,0,0
1221179,137908,-14,20549.43,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,19063.395,20549.43,20549.43,0.0,0,0.0,0.0,85.0,Active,0,0
1221179,137908,-15,23563.395,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,22020.84,23563.395,23563.395,0.0,0,0.0,0.0,84.0,Active,0,0
1221179,137908,-16,26520.84,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,24947.865,26520.84,26520.84,0.0,0,0.0,0.0,83.0,Active,0,0
1221179,137908,-17,29447.865,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,27820.44,29447.865,29447.865,0.0,0,0.0,0.0,82.0,Active,0,0
1221179,137908,-18,32320.44,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,30662.46,32320.44,32320.44,0.0,0,0.0,0.0,81.0,Active,0,0
1221179,137908,-19,35162.46,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,33439.365,35162.46,35162.46,0.0,0,0.0,0.0,80.0,Active,0,0
1221179,137908,-20,37939.365,67500,0.0,0.0,0.0,0.0,3375.0,5400.0,5400.0,36218.16,37939.365,37939.365,0.0,0,0.0,0.0,79.0,Active,0,0
1221179,137908,-21,41618.16,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,39798.63,41618.16,41618.16,0.0,0,0.0,0.0,78.0,Active,0,0
1221179,137908,-22,44298.63,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,42435.945,44298.63,44298.63,0.0,0,0.0,0.0,77.0,Active,0,0
1221179,137908,-23,46935.945,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,45060.48,46935.945,46935.945,0.0,0,0.0,0.0,76.0,Active,0,0
1221179,137908,-24,49560.48,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,47631.555,49560.48,49560.48,0.0,0,0.0,0.0,75.0,Active,0,0
1221179,137908,-25,52131.555,67500,4500.0,4500.0,0.0,0.0,3375.0,4500.0,4500.0,49125.15,52131.555,52131.555,1.0,1,0.0,0.0,74.0,Active,0,0
1221179,137908,-26,49125.15,67500,9000.0,9000.0,0.0,0.0,3375.0,4500.0,4500.0,46219.95,49125.15,49125.15,1.0,1,0.0,0.0,73.0,Active,0,0
1221179,137908,-27,41719.95,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,39898.665,41719.95,41719.95,0.0,0,0.0,0.0,72.0,Active,0,0
1221179,137908,-28,44398.665,67500,0.0,0.0,0.0,0.0,3375.0,4500.0,4500.0,42687.27,44398.665,44398.665,0.0,0,0.0,0.0,71.0,Active,0,0
