SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT,CNT_PAYMENT,NUM_INSTALMENT_ratio,days_delayed_payment,amt_ratio,amt_delta,days_weighted_delay,DPD,DBD,days_weighted_delay_tsw3,delayed_day_over0,delayed_money_0,delayed_money_ratio_0,not-delayed_day_0,not-delayed_money_0,not-delayed_money_ratio_0,delayed_day_over5,delayed_money_5,delayed_money_ratio_5,not-delayed_day_5,not-delayed_money_5,not-delayed_money_ratio_5,delayed_day_over10,delayed_money_10,delayed_money_ratio_10,not-delayed_day_10,not-delayed_money_10,not-delayed_money_ratio_10,delayed_day_over15,delayed_money_15,delayed_money_ratio_15,not-delayed_day_15,not-delayed_money_15,not-delayed_money_ratio_15,delayed_day_over20,delayed_money_20,delayed_money_ratio_20,not-delayed_day_20,not-delayed_money_20,not-delayed_money_ratio_20,delayed_day_over25,delayed_money_25,delayed_money_ratio_25,not-delayed_day_25,not-delayed_money_25,not-delayed_money_ratio_25,delayed_day_over30,delayed_money_30,delayed_money_ratio_30,not-delayed_day_30,not-delayed_money_30,not-delayed_money_ratio_30,delayed_day_over35,delayed_money_35,delayed_money_ratio_35,not-delayed_day_35,not-delayed_money_35,not-delayed_money_ratio_35,delayed_day_over40,delayed_money_40,delayed_money_ratio_40,not-delayed_day_40,not-delayed_money_40,not-delayed_money_ratio_40,delayed_day_over45,delayed_money_45,delayed_money_ratio_45,not-delayed_day_45,not-delayed_money_45,not-delayed_money_ratio_45
2251207,100229,1.0,3,-32.0,-61.0,4003.335,4003.335,6.0,0.5,-29.0,1.0,0.0,-29.0,0.0,29.0,-28.4693,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0
2251207,100229,1.0,2,-62.0,-96.0,4003.335,4003.335,6.0,0.3333333333333333,-34.0,1.0,0.0,-34.0,0.0,34.0,-33.0208,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0
2251207,100229,1.0,1,-92.0,-113.0,4003.335,4003.335,6.0,0.16666666666666666,-21.0,1.0,0.0,-21.0,0.0,21.0,-20.2881,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0,0,0.0,0.0,1,4003.335,1.0
2200725,100229,2.0,5,-1958.0,-1980.0,21791.205,21791.205,12.0,0.4166666666666667,-22.0,1.0,0.0,-22.0,0.0,22.0,-8.932,0,0.0,0.0,1,21791.205,1.0,0,0.0,0.0,1,21791.205,1.0,0,0.0,0.0,1,21791.205,1.0,0,0.0,0.0,1,21791.205,1.0,0,0.0,0.0,1,21791.205,1.0,0,0.0,0.0,1,21791.205,1.0,0,0.0,0.0,1,21791.205,1.0,0,0.0,0.0,1,21791.205,1.0,0,0.0,0.0,1,21791.205,1.0,0,0.0,0.0,1,21791.205,1.0
2200725,100229,1.0,4,-1988.0,-1980.0,3350.52,0.54,12.0,0.3333333333333333,8.0,0.000161169012571183,3349.98,0.001289352100569464,8.0,0.0,0.0005234769528312023,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183
2200725,100229,1.0,4,-1988.0,-2002.0,3350.52,3349.98,12.0,0.3333333333333333,-14.0,0.9998388309874289,0.5399999999999636,-13.997743633824005,0.0,14.0,-5.590698807349309,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289
2200725,100229,1.0,3,-2018.0,-2002.0,3350.52,0.54,12.0,0.25,16.0,0.000161169012571183,3349.98,0.002578704201138928,16.0,0.0,0.001029934457934888,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183
2200725,100229,1.0,3,-2018.0,-2029.0,3350.52,3349.98,12.0,0.25,-11.0,0.9998388309874289,0.5399999999999636,-10.998227140861717,0.0,11.0,-4.303606280219191,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289
2200725,100229,1.0,2,-2048.0,-2058.0,3350.52,3349.98,12.0,0.16666666666666666,-10.0,0.9998388309874289,0.5399999999999636,-9.998388309874288,0.0,10.0,-3.825383367357903,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289,0,0.0,0.0,1,3349.98,0.9998388309874289
2200725,100229,1.0,2,-2048.0,-2029.0,3350.52,0.54,12.0,0.16666666666666666,19.0,0.000161169012571183,3349.98,0.003062211238852477,19.0,0.0,0.0011982432577629745,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183,0,0.0,0.0,1,0.54,0.000161169012571183
