SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF,app_AMT_INCOME_TOTAL,app_AMT_CREDIT,app_AMT_ANNUITY,app_AMT_GOODS_PRICE,AMT_BALANCE-dby-AMT_CREDIT_LIMIT_ACTUAL,AMT_BALANCE-dby-app_AMT_INCOME_TOTAL,AMT_BALANCE-dby-app_AMT_CREDIT,AMT_BALANCE-dby-app_AMT_ANNUITY,AMT_BALANCE-dby-app_AMT_GOODS_PRICE,AMT_BALANCE-dby-AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_CURRENT-dby-AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_CURRENT-dby-app_AMT_INCOME_TOTAL,AMT_DRAWINGS_CURRENT-dby-app_AMT_CREDIT,AMT_DRAWINGS_CURRENT-dby-app_AMT_ANNUITY,AMT_DRAWINGS_CURRENT-dby-app_AMT_GOODS_PRICE,SK_DPD_diff,SK_DPD_diff_over0,SK_DPD_diff_over5,SK_DPD_diff_over10,SK_DPD_diff_over15,SK_DPD_diff_over20,SK_DPD_diff_over25
1900245,103310,-1,303077.655,292500,4500.0,4500.0,0.0,0.0,15039.18,15750.0,15750.0,289093.23,299731.14,299731.14,1.0,1,0.0,0.0,14.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,1.0361629230769231,1.1225098333333334,1.3470118000000002,16.926511686353358,1.3470118000000002,67.35059000000001,0.015384615384615385,0.016666666666666666,0.02,0.25131942699170645,0.02,0,0,0,0,0,0,0
1900245,103310,-2,302191.425,292500,6750.0,6750.0,0.0,0.0,14090.175,22500.0,22500.0,284593.23,297309.06,297309.06,2.0,2,0.0,0.0,13.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,1.0331330769230769,1.1192275,1.343073,16.87701683840161,1.343073,44.7691,0.023076923076923078,0.025,0.03,0.3769791404875597,0.03,0,0,0,0,0,0,0
1900245,103310,-3,304669.215,292500,13500.0,27540.0,14040.0,0.0,13731.615,14400.0,14400.0,287771.895,297214.155,297214.155,3.0,4,1.0,0.0,12.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,1.041604153846154,1.1284045,1.3540854000000002,17.01539834129178,1.3540854000000002,11.062789215686275,0.09415384615384616,0.102,0.1224,1.5380748931892436,0.1224,0,0,0,0,0,0,0
1900245,103310,-4,275914.98,292500,2250.0,2250.0,0.0,0.0,14606.055,31500.0,31500.0,262870.92,272545.38,272545.38,1.0,1,0.0,0.0,11.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,0.9432990769230769,1.0219073333333333,1.2262887999999998,15.409509927117366,1.2262887999999998,122.62888,0.007692307692307693,0.008333333333333333,0.01,0.12565971349585323,0.01,0,0,0,0,0,0,0
1900245,103310,-5,293784.39,292500,0.0,0.0,0.0,0.0,15007.455,18000.0,18000.0,282148.785,291611.835,291611.835,0.0,0,0.0,0.0,10.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,1.004391076923077,1.0880903333333334,1.3057084,16.407494345312895,1.3057084,inf,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1900245,103310,-6,301010.445,292500,72000.0,72000.0,0.0,0.0,11281.005,13500.0,13500.0,284120.325,293440.725,293440.725,4.0,4,0.0,0.0,9.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,1.0290955384615386,1.1148535,1.3378242,16.811060567981905,1.3378242,4.180700625,0.24615384615384617,0.26666666666666666,0.32,4.021110831867303,0.32,0,0,0,0,0,0,0
1900245,103310,-7,226585.125,292500,0.0,14784.75,0.0,14784.75,9360.855,9450.0,9450.0,218404.485,224903.385,224903.385,0.0,3,0.0,3.0,8.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,0.77465,0.8392041666666666,1.007045,12.654498617743151,1.007045,15.32559732156445,0.050546153846153845,0.05475833333333333,0.06571,0.8257099773812516,0.06571,0,0,0,0,0,0,0
1900245,103310,-8,214047.855,292500,90000.0,115852.5,0.0,25852.5,5387.625,18000.0,18000.0,205605.225,209972.745,209972.745,2.0,3,0.0,1.0,7.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,0.7317875384615385,0.7927698333333334,0.9513238,11.954307614978639,0.9513238,1.847589434841717,0.3960769230769231,0.4290833333333333,0.5149,6.470218647901483,0.5149,0,0,0,0,0,0,0
1900245,103310,-9,108244.17,292500,0.0,18254.25,0.0,18254.25,6533.145,45000.0,45000.0,103917.375,108244.17,108244.17,0.0,1,0.0,1.0,6.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,0.37006553846153845,0.4009043333333333,0.4810852,6.0453028399095246,0.4810852,5.929806483421669,0.06240769230769231,0.06760833333333334,0.08113,1.0194772555918572,0.08113,0,0,0,0,0,0,0
1900245,103310,-10,131503.59,292500,0.0,0.0,0.0,0.0,8303.535,40500.0,40500.0,125570.925,131503.59,131503.59,0.0,0,0.0,0.0,5.0,Active,0,0,270000.0,225000.0,17905.5,225000.0,0.44958492307692305,0.4870503333333333,0.5844604,7.3443126413671775,0.5844604,inf,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
