SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,credit-dby-income,annuity-dby-income,goods_price-dby-income,credit-dby-annuity,goods_price-dby-annuity,goods_price-dby-credit,goods_price-m-credit,goods_price-m-credit-dby-income,age_finish_payment,DAYS_EMPLOYED-m-DAYS_BIRTH,DAYS_REGISTRATION-m-DAYS_BIRTH,DAYS_ID_PUBLISH-m-DAYS_BIRTH,DAYS_LAST_PHONE_CHANGE-m-DAYS_BIRTH,DAYS_REGISTRATION-m-DAYS_EMPLOYED,DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE-m-DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,cnt_adults,income_per_adult,income-by-CNT_CHILDREN,credit-by-CNT_CHILDREN,annuity-by-CNT_CHILDREN,goods_price-by-CNT_CHILDREN,EXT_SOURCES_prod,EXT_SOURCES_sum,EXT_SOURCES_mean,EXT_SOURCES_std,EXT_SOURCES_1-2-3,EXT_SOURCES_2-1-3,EXT_SOURCES_1-2,EXT_SOURCES_2-3,EXT_SOURCES_1-3,DAYS_EMPLOYED_PERC,INCOME_PER_PERSON,PAYMENT_RATE,NEW_DOC_IND_KURT,NEW_LIVE_IND_SUM,NEW_INC_PER_CHLD,NEW_INC_BY_ORG,NEW_ANNUITY_TO_INCOME_RATIO,NEW_CAR_TO_BIRTH_RATIO,NEW_CAR_TO_EMPLOY_RATIO,NEW_PHONE_TO_BIRTH_RATIO,NEW_PHONE_TO_EMPLOYED_RATIO
100229,0,Cash loans,0,0,1,,157500.0,544491.0,16047.0,454500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.010147,-17947,-5025.0,-11812.0,-1505,,1,1,0,1,0,0,Medicine staff,2.0,2,2,TUESDAY,17,0,0,0,0,0,0,Medicine,,0.6410123825293345,0.7597121819739279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-122.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.4570857142857143,0.10188571428571429,2.8857142857142857,33.93101514301738,28.323051037577116,0.8347245409015025,-89991.0,-0.5713714285714285,18964.930454290523,12922.0,6135.0,16442,17825.0,-6787.0,3520.0,4903.0,10307.0,11690.0,1383.0,2.0,78750.0,,,,,,1.4007245645032622,0.7003622822516311,0.08393343311275518,,,,-0.11869979944459341,,0.27999108486097957,78750.0,0.029471561513413444,20.00000000000001,4,,135000.0,0.10188506739639748,,,0.006797793503092439,0.02427860696517413
108728,0,Cash loans,1,1,0,,90000.0,57339.0,6151.5,49500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-15485,-1723.0,-3275.0,-4525,11.0,1,1,0,1,0,0,Laborers,2.0,2,2,FRIDAY,11,0,0,0,0,0,0,Self-employed,,0.7830715485934459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-1702.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.6371,0.06835,0.55,9.32114118507681,8.046817849305048,0.8632867681682624,-7839.0,-0.0871,15764.634235552305,13762.0,12210.0,10960,13783.0,-1552.0,-2802.0,21.0,-1250.0,1573.0,2823.0,2.0,45000.0,,,,,,0.7830715485934459,0.7830715485934459,0.151245641298076,,,,,,0.11126896997093962,45000.0,0.10728300109872861,20.00000000000001,4,,148500.0,0.06834924056399373,-0.0007103648692282855,-0.006384213580963436,0.10991281885695835,0.987811955890888
112976,0,Cash loans,0,0,1,,323968.5,450000.0,27193.5,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.072508,-23134,,-277.0,-788,,1,0,0,1,1,0,,2.0,1,1,FRIDAY,14,0,0,0,0,0,0,XNA,0.8514934659917223,0.7145335999237189,0.5937175866150576,0.2192,0.1387,0.9776,0.6940000000000001,0.0676,0.24,0.2069,0.3333,0.375,0.0,0.1776,0.2069,0.0051,0.0412,0.1513,0.0948,0.9777,0.706,0.0451,0.1611,0.1379,0.3333,0.375,0.0,0.1322,0.1468,0.0,0.0,0.1499,0.0931,0.9776,0.6981,0.0455,0.16,0.1379,0.3333,0.375,0.0,0.1231,0.1454,0.0,0.0,reg oper account,block of flats,0.292,Panel,0,0.0,0.0,0.0,0.0,-301.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.3890239328823635,0.08393871626408123,1.3890239328823635,16.54807214959457,16.54807214959457,1.0,0.0,0.0,23630.44216448784,,22857.0,22346,22833.0,,,,-511.0,-24.0,487.0,2.0,161984.25,,,,,0.36123006464358015,2.159744652530499,0.7199148841768329,0.12897216623079108,-0.4567577205470542,-0.730677452683061,0.13695986606800337,0.12081601330866132,0.2577758793766647,,161984.25,0.06043,20.00000000000001,4,,117000.0,0.08393845716957923,,,0.013011152416356878,
122374,0,Revolving loans,0,0,1,,67500.0,180000.0,9000.0,,,Working,Secondary / secondary special,Married,House / apartment,0.006008,-10777,-3330.0,-706.0,-873,,1,1,1,1,0,0,Laborers,2.0,2,2,TUESDAY,15,0,0,0,0,1,1,Business Entity Type 2,0.1713535243338954,0.6004959032198581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2.6666666666666665,0.13333333333333333,,20.0,,,,,11377.0,7447.0,10071.0,9904,10304.0,2624.0,2457.0,2857.0,-167.0,233.0,400.0,2.0,33750.0,,,,,,0.7718494275537535,0.38592471377687676,0.30344948620479095,,,-0.42914237888596274,,,0.308991370511274,33750.0,0.05,0.0,5,,157500.0,0.13333135805395477,,,0.04388976524079057,0.14204204204204204
125830,0,Cash loans,1,1,0,1.0,315000.0,2250000.0,62005.5,2250000.0,Family,Working,Incomplete higher,Married,House / apartment,0.015221,-12235,-185.0,-3541.0,-3541,2.0,1,1,1,1,1,0,,3.0,2,2,MONDAY,16,0,1,1,0,1,1,Industry: type 9,,0.7283956393541674,0.6894791426446275,0.0247,0.0796,0.9841,0.7824,0.0033,0.0,0.1379,0.0417,0.0833,0.0461,0.0202,0.0234,0.0,0.0,0.0252,0.0826,0.9841,0.7909,0.0033,0.0,0.1379,0.0417,0.0833,0.0471,0.022000000000000002,0.0243,0.0,0.0,0.025,0.0796,0.9841,0.7853,0.0033,0.0,0.1379,0.0417,0.0833,0.0469,0.0205,0.0238,0.0,0.0,not specified,block of flats,0.0202,Panel,0,3.0,0.0,3.0,0.0,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.142857142857143,0.19684285714285715,7.142857142857143,36.28710356339357,36.28710356339357,1.0,0.0,0.0,13323.613106901807,12050.0,8694.0,8694,12234.0,-3356.0,-3356.0,184.0,0.0,3540.0,3540.0,2.0,157500.0,315000.0,2250000.0,62005.5,2250000.0,,1.417874781998795,0.7089373909993975,0.027518118723339622,,,,0.038916496709539894,,0.015120555782590927,105000.0,0.027558,7.0370370370370345,6,157500.0,180000.0,0.19684223224688174,-0.00016346546791990192,-0.010810810810810811,8.173273395995096e-05,0.005405405405405406
126059,0,Cash loans,1,1,0,,315000.0,450000.0,21888.0,450000.0,Unaccompanied,Working,Higher education,Separated,House / apartment,0.030755,-12896,-980.0,-923.0,-4668,6.0,1,1,0,1,0,0,Cooking staff,1.0,2,2,THURSDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.4542736854602584,0.0545839935176224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.0,1.0,4.0,0.0,-339.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.4285714285714286,0.06948571428571429,1.4285714285714286,20.55921052631579,20.55921052631579,1.0,0.0,0.0,13512.776315789473,11916.0,11973.0,8228,12557.0,57.0,-3688.0,641.0,-3745.0,584.0,4329.0,1.0,315000.0,,,,,,0.5088576789778808,0.2544288394889404,0.28262329154300014,,,,0.39968969194263604,,0.0759925558312655,315000.0,0.04864,20.00000000000001,4,,157500.0,0.06948549369684541,-0.0004652605459057072,-0.006122448979591836,0.026287220843672455,0.34591836734693876
129056,0,Cash loans,0,0,1,,135000.0,135000.0,9729.0,135000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018209,-16712,-4109.0,-1965.0,-243,,1,1,0,1,0,0,Sales staff,2.0,3,3,MONDAY,11,0,0,0,0,0,0,Self-employed,,0.4632541788080211,0.6894791426446275,0.0082,0.0,0.9757,0.6668,0.0,0.0,0.0345,0.0,0.0417,0.0033,0.0067,0.0058,0.0,0.0,0.0084,0.0,0.9757,0.6798,0.0,0.0,0.0345,0.0,0.0417,0.0034,0.0073,0.006,0.0,0.0,0.0083,0.0,0.9757,0.6713,0.0,0.0,0.0345,0.0,0.0417,0.0034,0.0068,0.0059,0.0,0.0,reg oper account,block of flats,0.0045,"Stone, brick",0,4.0,0.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.07206666666666667,1.0,13.876040703052729,13.876040703052729,1.0,0.0,0.0,17128.281221091584,12603.0,14747.0,16469,16712.0,2144.0,3866.0,4109.0,1722.0,1965.0,243.0,2.0,67500.0,,,,,,1.1527333214526485,0.5763666607263243,0.15996520600254585,,,,-0.2262249638366064,,0.2458712302537099,67500.0,0.07206666666666667,20.00000000000001,4,,148500.0,0.07206613284346042,,,-0.0,-0.0
130181,0,Cash loans,1,0,0,1.0,157500.0,746280.0,58963.5,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018801,-8659,-1210.0,-1373.0,-1338,,1,1,0,1,0,0,,3.0,2,2,FRIDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.4882611493398778,0.5919766183185521,0.3711,0.2729,0.9871,0.8232,0.2342,0.4,0.3448,0.3333,0.375,0.0767,0.3026,0.3941,0.0,0.0,0.3782,0.2832,0.9871,0.8301,0.2364,0.4028,0.3448,0.3333,0.375,0.0785,0.3306,0.4106,0.0,0.0,0.3747,0.2729,0.9871,0.8256,0.2357,0.4,0.3448,0.3333,0.375,0.078,0.3078,0.4011,0.0,0.0,reg oper account,block of flats,0.43799999999999994,Panel,0,0.0,0.0,0.0,0.0,-204.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0,4.738285714285714,0.3743714285714286,4.285714285714286,12.656643516751888,11.447760054949248,0.9044862518089725,-71280.0,-0.45257142857142857,9038.699305502556,7449.0,7286.0,7321,8455.0,-163.0,-128.0,1006.0,35.0,1169.0,1134.0,2.0,78750.0,157500.0,746280.0,58963.5,675000.0,,1.0802377676584298,0.5401188838292149,0.07333791142876359,,,,-0.10371546897867429,,0.13973899988451322,52500.0,0.07900988904968645,20.00000000000001,3,78750.0,157500.0,0.37436905162506906,,,0.023559302459868346,0.16859504132231404
132748,0,Cash loans,0,0,1,2.0,225000.0,419679.0,20542.5,346500.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.005084,-11622,-1973.0,-579.0,-2992,,1,1,1,1,1,0,,4.0,2,2,SUNDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.28881758398067703,0.6279908192952864,,0.0473,0.9861,,,,0.069,0.0417,,,,0.0094,,,,0.0491,0.9861,,,,0.069,0.0417,,,,0.0097,,,,0.0473,0.9861,,,,0.069,0.0417,,,,0.0095,,,,,0.0115,"Stone, brick",0,0.0,0.0,0.0,0.0,-1520.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,1.86524,0.0913,1.54,20.429791894852137,16.867469879518072,0.8256310179923227,-73179.0,-0.32524,12234.893756845564,9649.0,11043.0,8630,10102.0,1394.0,-1019.0,453.0,-2413.0,-941.0,1472.0,2.0,112500.0,112500.0,209839.5,10271.25,173250.0,,0.9168084032759635,0.45840420163798173,0.2398316946879409,,,,-0.3391732353146094,,0.16976424023403888,56250.0,0.04894812463811628,20.00000000000001,6,75000.0,157500.0,0.09129959422402567,,,0.13078643951127172,0.7704004054738977
133484,0,Cash loans,0,0,1,,157500.0,646920.0,19044.0,540000.0,Other_B,Pensioner,Secondary / secondary special,Widow,House / apartment,0.025164,-22837,,-27.0,-5131,,1,0,0,1,0,0,,1.0,2,2,WEDNESDAY,13,0,0,0,0,0,0,XNA,,0.7161899865486534,0.6413682574954046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.0,2.0,0.0,-762.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,4.107428571428572,0.12091428571428571,3.4285714285714284,33.96975425330813,28.35538752362949,0.8347245409015025,-106920.0,-0.6788571428571428,23856.092627599242,,22810.0,17706,22075.0,,,,-5104.0,-735.0,4369.0,1.0,157500.0,,,,,,1.357558244044058,0.678779122022029,0.05290695199365474,,,,0.0748217290532488,,,157500.0,0.029437952142459655,20.00000000000001,3,,117000.0,0.12091351800940947,,,0.033366904584665236,
