user_id,SK_ID_CURR,TARGET,is_train
2,100041,0.0,1
2,181102,0.0,1
3,170362,0.0,1
3,100043,0.0,1
4,157771,0.0,1
4,100066,,0
5,417707,0.0,1
5,100072,0.0,1
6,437195,0.0,1
6,100090,,0
7,100094,0.0,1
7,176665,0.0,1
8,100125,0.0,1
8,351641,,0
9,398229,0.0,1
9,100144,0.0,1
10,100147,0.0,1
10,357498,0.0,1
11,134172,0.0,1
11,100164,0.0,1
12,100190,0.0,1
12,171997,,0
13,369392,0.0,1
13,100232,,0
14,226916,1.0,1
14,120388,,0
14,100271,,0
15,166301,0.0,1
15,272843,0.0,1
15,100296,0.0,1
16,238537,0.0,1
16,104821,0.0,1
16,100311,,0
17,359520,0.0,1
17,100327,0.0,1
18,100344,0.0,1
18,417384,0.0,1
19,100347,0.0,1
19,213802,0.0,1
20,100377,0.0,1
20,243409,0.0,1
21,322434,0.0,1
21,100394,0.0,1
22,100402,0.0,1
22,134629,0.0,1
23,100408,0.0,1
23,436899,0.0,1
24,100425,0.0,1
24,288047,0.0,1
25,100441,0.0,1
25,356351,0.0,1
26,231336,0.0,1
26,100492,0.0,1
27,252220,0.0,1
27,100499,0.0,1
28,100583,0.0,1
28,368956,,0
29,100593,0.0,1
29,316440,0.0,1
30,100706,0.0,1
30,360845,0.0,1
31,100741,0.0,1
31,443909,0.0,1
32,424385,0.0,1
32,100795,0.0,1
33,372388,0.0,1
33,100797,,0
34,100824,0.0,1
34,217242,1.0,1
35,100884,0.0,1
35,136344,0.0,1
36,225207,0.0,1
36,100885,0.0,1
37,100940,0.0,1
37,312918,0.0,1
38,100955,0.0,1
38,190916,,0
39,100960,0.0,1
39,401356,0.0,1
40,178701,0.0,1
40,101020,,0
41,448087,0.0,1
41,101021,,0
42,101043,0.0,1
42,419218,0.0,1
43,101044,0.0,1
43,103341,0.0,1
44,101045,0.0,1
44,321479,0.0,1
45,351903,0.0,1
45,101057,,0
46,116920,0.0,1
46,101110,0.0,1
47,374175,0.0,1
47,101126,,0
48,101165,1.0,1
48,124530,0.0,1
49,258267,0.0,1
49,101183,0.0,1
50,101189,0.0,1
50,424474,0.0,1
51,101199,0.0,1
51,132824,1.0,1
52,342043,0.0,1
52,101222,0.0,1
53,247772,0.0,1
53,101243,,0
54,101314,0.0,1
54,388669,,0
55,261011,0.0,1
55,101328,0.0,1
56,101475,0.0,1
56,130172,0.0,1
57,178518,0.0,1
57,101501,0.0,1
58,101502,0.0,1
58,393576,0.0,1
59,101519,0.0,1
59,171079,0.0,1
60,101532,0.0,1
60,256350,,0
61,399094,0.0,1
61,176973,0.0,1
61,101539,0.0,1
62,423521,0.0,1
62,101554,0.0,1
63,277224,0.0,1
63,101603,0.0,1
64,101605,0.0,1
64,307550,0.0,1
65,326405,0.0,1
65,101628,0.0,1
66,362140,0.0,1
66,101650,,0
67,388625,0.0,1
67,101669,,0
68,101787,0.0,1
68,341932,0.0,1
69,101790,0.0,1
69,340385,,0
70,101808,0.0,1
70,313627,0.0,1
71,314826,0.0,1
71,101818,0.0,1
72,101850,0.0,1
72,208392,0.0,1
73,101953,0.0,1
73,384549,,0
74,101958,0.0,1
74,358861,0.0,1
75,101969,0.0,1
75,422489,0.0,1
76,101984,0.0,1
76,298593,,0
77,102010,0.0,1
77,114949,0.0,1
78,102027,0.0,1
78,429891,0.0,1
79,345090,0.0,1
79,102073,1.0,1
80,102111,0.0,1
80,330648,0.0,1
81,160233,0.0,1
81,102138,0.0,1
82,237345,0.0,1
82,102166,,0
83,236382,0.0,1
83,102227,0.0,1
84,441137,0.0,1
84,102238,,0
85,102324,0.0,1
85,276955,0.0,1
86,312785,0.0,1
86,102345,0.0,1
87,211543,0.0,1
87,102456,,0
88,102466,0.0,1
88,455821,0.0,1
89,102479,0.0,1
89,153074,0.0,1
90,102527,0.0,1
90,349015,,0
91,102529,1.0,1
91,334514,1.0,1
92,428109,0.0,1
92,102600,0.0,1
93,102618,0.0,1
93,227189,0.0,1
94,448307,0.0,1
94,102634,,0
95,110114,0.0,1
95,102772,,0
96,137115,0.0,1
96,102795,1.0,1
97,290769,0.0,1
97,102814,0.0,1
98,102831,0.0,1
98,413538,0.0,1
99,102855,0.0,1
99,332114,1.0,1
100,102888,0.0,1
100,168395,0.0,1
101,282561,0.0,1
101,103020,0.0,1
102,103041,0.0,1
102,204689,,0
103,103054,0.0,1
103,183866,,0
104,388818,0.0,1
104,103082,0.0,1
105,103126,0.0,1
105,317272,0.0,1
106,132804,1.0,1
106,103171,,0
107,103209,0.0,1
107,244543,,0
108,103215,0.0,1
108,226944,0.0,1
109,103223,0.0,1
109,424933,0.0,1
110,316474,0.0,1
110,103231,,0
111,103288,0.0,1
111,236061,0.0,1
112,103314,0.0,1
112,241218,0.0,1
113,451915,0.0,1
113,103345,,0
114,103369,0.0,1
114,323171,,0
115,103374,0.0,1
115,116566,0.0,1
116,103379,0.0,1
116,315462,,0
117,103424,0.0,1
117,145954,,0
118,267287,0.0,1
118,103473,,0
119,375211,0.0,1
119,103515,,0
120,362754,0.0,1
120,103516,,0
121,434499,0.0,1
121,103531,1.0,1
122,103545,0.0,1
122,396358,0.0,1
123,324813,0.0,1
123,103591,,0
124,103626,0.0,1
124,390256,,0
125,103690,0.0,1
125,241943,,0
125,442631,0.0,1
126,103712,0.0,1
126,234012,,0
127,103742,0.0,1
127,420353,,0
128,103745,0.0,1
128,248896,0.0,1
129,103750,0.0,1
129,396918,0.0,1
130,420386,0.0,1
130,103762,,0
131,228632,0.0,1
131,103770,0.0,1
132,103794,0.0,1
132,383175,,0
133,288592,0.0,1
133,103805,0.0,1
134,244360,0.0,1
134,103856,0.0,1
135,103881,0.0,1
135,280548,,0
136,103887,0.0,1
136,446184,1.0,1
137,351797,0.0,1
137,103930,0.0,1
138,104023,0.0,1
138,350855,,0
139,104029,0.0,1
139,110677,0.0,1
140,104033,0.0,1
140,301031,0.0,1
141,104065,0.0,1
141,268953,0.0,1
142,104070,1.0,1
142,189602,1.0,1
143,454545,0.0,1
143,104089,,0
144,112689,0.0,1
144,104098,,0
145,104116,1.0,1
145,447577,0.0,1
146,221840,0.0,1
146,104144,0.0,1
147,298352,0.0,1
147,104157,1.0,1
148,134660,0.0,1
148,104173,0.0,1
149,104209,1.0,1
149,263559,1.0,1
150,104236,0.0,1
150,331552,0.0,1
151,104262,1.0,1
151,450141,,0
152,104302,0.0,1
152,179288,,0
153,104361,0.0,1
153,220329,0.0,1
154,276883,0.0,1
154,104385,0.0,1
155,104388,0.0,1
155,221746,0.0,1
156,176631,0.0,1
156,104414,0.0,1
157,104440,0.0,1
157,439877,0.0,1
158,104454,0.0,1
158,284349,0.0,1
159,264492,0.0,1
159,104480,,0
160,104539,0.0,1
160,438408,,0
161,104548,0.0,1
161,128166,,0
162,104599,0.0,1
162,377754,,0
163,289101,0.0,1
163,104603,0.0,1
164,104616,0.0,1
164,286488,0.0,1
165,104632,0.0,1
165,397129,,0
166,204146,0.0,1
166,104661,0.0,1
167,104745,0.0,1
167,401790,0.0,1
168,104764,0.0,1
168,225377,0.0,1
169,304852,0.0,1
169,104852,1.0,1
170,104854,0.0,1
170,269205,0.0,1
171,104871,0.0,1
171,317847,0.0,1
172,431414,0.0,1
172,104906,,0
173,403209,0.0,1
173,104967,0.0,1
174,134278,0.0,1
174,104988,,0
175,105011,0.0,1
175,357734,0.0,1
176,345121,0.0,1
176,105016,0.0,1
177,112092,0.0,1
177,105085,0.0,1
178,105143,0.0,1
178,146864,,0
179,105209,0.0,1
179,377106,0.0,1
180,105211,0.0,1
180,406837,0.0,1
181,430606,0.0,1
181,105233,0.0,1
182,105262,0.0,1
182,402001,0.0,1
183,232719,0.0,1
183,105309,0.0,1
184,105334,0.0,1
184,243843,0.0,1
185,105349,0.0,1
185,343533,0.0,1
186,175892,,0
186,105376,0.0,1
187,448391,0.0,1
187,105429,0.0,1
188,231976,0.0,1
188,105471,,0
189,105550,0.0,1
189,249411,0.0,1
190,105555,0.0,1
190,154518,0.0,1
191,270728,0.0,1
191,105584,,0
192,105592,0.0,1
192,107526,,0
193,105624,0.0,1
193,453654,0.0,1
194,105645,0.0,1
194,142328,0.0,1
195,105658,0.0,1
195,244579,0.0,1
196,219330,0.0,1
196,105712,,0
197,105766,0.0,1
197,362716,0.0,1
198,105775,0.0,1
